"nurseryid"	"(E)-Geranylacetone"	"1-Butanol"	"1-Butanol, 2-methyl-"	"1-Butanol, 2-methyl-, acetate"	"1-Dodecanol"	"1-Heptanol"	"1-Hexanol"	"1-Hexanol, 2-ethyl-"	"1-Octanol"	"1-Octen-3-ol"	"1-Octen-3-one"	"1-Pentanol"	"1-Penten-3-one"	"1-Penten-3-one, 2-methyl-"	"1-Propanol"	"1-Propanol, 2-methyl-"	"1,3-Dioxolane, 2,4,5-trimethyl-"	"1,3,6,10-Dodecatetraene, 3,7,11-trimethyl"	"2-Dodecanone"	"2-Heptanone"	"2-Heptenal"	"2-Hexen-1-ol, acetate, (Z)-"	"2-Hexenal"	"2-Octenal, (E)-"	"2-Pentenal, (E)-"	"2-Propenal"	"2,2,7,7-Tetramethyloctane"	"2,4-Heptadienal, (E,E)-"	"2,4-Hexadienal"	"3-Hexenal"	"3-Hexenyl acetate"	"3-Methyl-3-butenyl acetate"	"4-Oxohex-2-enal"	"5-ethyl-2(5H)-furanone"	"5-Hepten-2-ol, 6-methyl-"	"5-Hepten-2-one, 6-methyl-"	"5-Hexen-1-ol"	"5-Hexenyl acetate"	"à-Farnesene"	"Acetic acid"	"Acetic acid, butyl ester"	"Acetic acid, hexyl ester"	"Acetic acid, methyl ester"	"Acetic acid, pentyl ester"	"Acetone"	"Benzaldehyde"	"Benzene"	"Benzophenone"	"Benzothiazole"	"Butanal"	"Butanal, 2-methyl-"	"Butane, 1-methoxy-2-methyl-"	"Butanoic acid, 2-methyl-, 2-methylbutyl ester"	"Butanoic acid, 2-methyl-, ethyl ester"	"Butanoic acid, 2-methyl-, hexyl ester"	"Butanoic acid, 2-methyl-, methyl ester"	"Butanoic acid, 2-methyl-, pentyl ester"	"Butanoic acid, 2-methylbutyl ester"	"Butanoic acid, 2-methylpropyl ester"	"Butanoic acid, 3-hydroxy-, ethyl ester"	"Butanoic acid, butyl ester"	"Butanoic acid, ethyl ester"	"Butanoic acid, hexyl ester"	"Butanoic acid, methyl ester"	"Butanoic acid, pentyl ester"	"Butanoic acid, propyl ester"	"Butyl 2-methylbutanoate"	"Butyrolactone"	"Cyclopropane, nonyl-"	"Decanal"	"Estragole"	"Ethanol"	"Ethyl Acetate"	"Furan, 2-methyl-"	"Furan, 2-pentyl-"	"Furan, tetrahydro-2,2,5,5-tetramethyl-"	"Heptanal"	"Heptane, 2,2,4,6,6-pentamethyl"	"Hexamethylene diacrylate"	"Hexanal"	"Hexane, 1-methoxy-"	"Hexanoic acid, 2-ethyl-"	"Hexanoic acid, butyl ester"	"Hexanoic acid, ethyl ester"	"Hexanoic acid, hexyl ester"	"Hexanoic acid, methyl ester"	"Hexanoic acid, propyl ester"	"Isobutyl acetate"	"Isopropyl Alcohol"	"n-Propyl acetate"	"Octanal"	"Octane, 2,2,6-trimethyl-"	"Pentanal"	"Pentanoic acid, ethyl ester"	"Phenol"	"Propanal"	"Propanoic acid, 2-methyl-, butyl ester"	"Propanoic acid, 2-methyl-, ethyl ester"	"Propanoic acid, 2-methyl-, hexyl ester"	"Propanoic acid, butyl ester"	"Propanoic acid, ethyl ester"	"Propanoic acid, hexyl ester"	"Propanoic acid, propyl ester"	"Tetrahydrofuran"	"Toluene"	"β-Damascenone"
1172	33071	11789158	12088583	17770	0	188305	56570119	361852	253082	31466	839193	1553244	161331	237851	0	47129	0	0	0	0	826454	0	45283746	411460	0	0	0	0	370218.5	5488975	0	0	0	0	8763.2	177207	77162	0	674502	0	322678	138056	0	0	0	36099	0	0	0	0	0	41418	54064	23683972	5788973	306504	118836	208397	2250440	0	13062448	136697569	0	2627493	719139	10122319	1758223	0	0	282598	7921.1	205384	256890	0	0	0	368274	0	62103	85895317	22302	0	1224183	1043167	2981884	0	0	0	0	0	472070	0	844462	261812	5530.6	0	149683	460277	162778	329157	5809873	81378	0	0	8413.8	13321
1196	71817	8093867	5846022	43896653.5	0	25839	7290588	394754	0	10671	251239.5	238768	169734	39575	891974	107492	0	2236.4	0	24626	256743.5	0	55277087	99848	0	0	0	0	200936.75	4897197	0	0	0	0	65971	278790	0	30812	2279216	0	50222486.5	12281409	0	1895980	143141	31130	0	0	0	3322516	255739	0	21212	0	1029178	41726	0	32318	2652701	0	4648792.5	1953982	105720	520027	0	30505802	504120.5	39324	0	0	162729	49012	732293	0	96807	0	256890.5	0	4561	62949428	0	0	992669	0	993754	0	414374	1920421	0	7096464	390822	0	1263528	0	0	165425	0	0	0	1459578	0	118456	4593080	0	0	0
1212	19084	3168396	946319	0	0	11976	12605791	361206	0	0	280638	316821	127383	442195	0	56195	0	0	26103	0	341292	0	6677249	192907	0	19805	0	0	182683.5	7439509	0	0	0	0	0	171461	0	0	54374	0	529792	294250	0	0	51848	27672	8213.9	0	0	0	0	0	0	0	114440	0	0	0	0	0	1644456	889159	3843477	1577002	91801	238670	29996	33460	0	24311	0	0	0	82313	0	0	292417	0	0	11780333	0	0	0	0	202136	21483	0	0	0	0	240034	0	1157900	0	2495.1	0	0	0	47961	77782	0	0	0	1030751	0	64372
1215	12919	6081867	4000566	39159314	0	79258	27941811	344034	77830	23320	573852	265260	230526	0	0	0	0	0	18909	0	672555	0	21405082	251278	0	0	0	0	634505	17493294	0	0	0	16987	0	155799	0	711850	343494	336586	75873403	108512833	0	6509172	0	21192	0	24425	0	191297	0	0	0	235758	2271364	0	0	0	364704	0	874540	680976	820619	66299	0	0	412746	35049	0	10552	0	17059	1001177	0	0	0	240032	0	0	58602685	0	0	0	0	50307	0	0	768342	0	2032900	0	0	479092	0	2276.5	0	166810	0	75754	745711	0	60995	75298	0	0	17790
1223	137876	8788256	4964490	108113357	0	41311	5887897	354784	38184	7935.5	267252	74781	132152	0	747879	0	0	0	0	0	362801	0	64369916	174930	0	0	0	0	291930.5	0	0	0	0	0	247189	565654	0	49485	405043	176703	171149985	57497919	62767	5229662	123341	26224	0	0	0	0	0	147973	0	209146	722898	0	0	0	1555467	0	7011919	0	0	0	0	0	1093605	0	0	0	466643	0	523380	6103.8	118986	0	455498	0	0	135692425	8389.9	0	217901	0	106928	0	14781	3812085	14723	24543048	512007	0	871746	0	0	0	0	0	0	3443113	0	26814	2148548	0	0	16886
1227	33937	12185214	1569411	51781512	0	152692	23672028	185522	209411	0	345660	419984	549382	0	38037	61234	0	0	0	0	419245	122094	47125684	167654	121171	0	0	0	254611	3599060	61532.5	0	0	0	0	163000	12683	2208372	552384	326279	214604524	142583616	0	17515528	0	36440	0	14976	3686.3	0	0	0	0	0	1384889	0	0	0	0	0	9945404	996405	0	0	0	0	327851	0	0	255440	0	6594.2	0	0	0	0	308406	0	14047	24950986	0	0	657032	0	644284	0	130966	2698206	0	4304362	1013962	0	0	0	4863.3	0	43918	0	0	2448507	0	401535	512391	0	0	54448
1237	12694	5587139	1613325	0	0	12542	13029553	87209	0	0	328692	434682	188052	205944	0	32977	0	0	0	0	348279	0	25846843	193418	110464	0	0	0	514654	17138248	0	0	0	0	3757.8	197774	0	0	662363	0	376107	100165	0	0	0	30241	0	0	0	981889	0	0	0	1478630	620091	50094	0	0	98069	0	6666152	61400389	6579235	3427326	242436	5215749	157057	46893	0	8130	0	78288	0	0	0	0	257968	0	0	34713750	0	0	611131	664617	684734	26582	0	0	0	38821	138121	0	745189	0	0	0	0	91230	0	516977	0	0	0	0	0	126000
1239	13731	1779804	393733	5533631	2233.7	0	1763290	334670	0	10034	267133	117812	142829	50148	0	81698	0	0	0	0	211806	119326	6232754	145511	131995	0	0	0	231460.5	9939372	0	0	0	0	0	162826	0	162889	39622	0	33844801	4055043	0	1761853	43830	15364	9137.6	29066	0	264121	0	0	0	0	0	0	0	0	0	0	239960	478175	38978	0	0	0	0	36181	0	32093	0	0	0	0	81946	0	178938	0	0	11054887	0	0	0	0	0	0	0	1279240	0	382484	175520	0	914063	0	0	0	0	0	0	0	0	0	0	0	0	75391
1267	47647	16828287	20890366	778976	229469	81694	29527977	354359	90637	7517.7	194503	1221392	44304	227495	134030	15604	0	36925	0	0	155321	0	3651840	90499	0	0	0	0	50598	262375	0	0	0	0	12632	168495	103272	0	3555828	0	855198	88104	0	0	31681	13836	0	11742	0	701701	0	572758	39104	689304	1879059	0	43691	35836	1215605	0	2808585	6394818	980715	86312	91988	2877547	860729	35197	0	65877	0	126660	0	336543	0	0	77496	0	0	4079819	55048	0	267796	0	172573	0	0	0	0	0	157160	0	755942	0	0	14479	95001	0	0	358871	0	0	0	37136	0	15465
1285	17373	2443132	2948069	74446520	0	170566	12484020	172910	267953	0	0	0	411231	0	0	0	0	21015	0	0	300402	0	12720232	115798	0	0	0	0	1132057	40721083	86238	0	0	43652	0	242270	0	273236	3434217	316059	65685986	110951736	0	4503534	0	34396	0	0	0	0	0	0	0	9655990	5192974	19231	0	25544	1163589	0	1384650	12247500	2076859	135959	0	0	536115	52570	76076	0	0	97014	9622292	0	0	0	254074	0	0	36700646	0	0	202502	771972	281025	0	91219	2476209	0	2655803	441553	0	840084	0	4244.2	0	0	121337	30406	207266	0	105883	0	0	0	53910
1287	21168	16609282	10403709	1230554	0	36506	28120434	270018	0	9364.8	188371	833619	21029	74203	0	15058	0	0	0	0	123471	0	1069992	88446	0	0	0	0	0	0	0	0	0	0	89897	212591	99206	0	2279934	0	1352997	114543	0	0	21797	0	0	0	0	2228211	0	159756	0	184496	1052051	0	0	34247	184935	0	5438758	6448914	2377057	0	87708	2375186	406917	30368	24244	77700	0	78826	0	0	0	0	69017	0	0	2617167	32126	0	329006	0	160043	0	0	0	0	0	88813	0	444420	0	0	0	107475	0	45972	497913	0	0	0	50861	0	107922
1333	17017	17553822	6872238	5549.2	0	1601.8	14874092	98473	0	30138	293594	300583	77482	0	0	3749.5	0	0	0	0	507347	0	5705183	253709	18121	0	0	0	151767.5	6448149	0	0	0	0	18261	480586	0	0	3392407	0	1050288	92824	0	0	29987	0	0	0	0	1631315.5	0	0	0	1277615	200266	86153	0	0	0	0	2549742	34396614	1061874	1109837	5088.6	1043748	174296	24583	112157	0	1749.3	75783	0	0	0	0	81149	0	0	21899027	0	0	707141	183769	343004	0	0	0	0	0	20121	0	1168048	0	0	0	0	0	0	67917	0	0	0	0	0	13404
