"nurseryid"	"X1.Butanol"	"X1.Butanol..2.methyl."	"X1.Butanol..2.methyl...acetate"	"X1.Dodecanol"	"X1.Heptanol"	"X1.Hexanol"	"X1.Hexanol..2.ethyl."	"X1.Octanol"	"X1.Octen.3.ol"	"X1.Octen.3.one"	"X1.Pentanol"	"X1.Penten.3.one"	"X1.Penten.3.one..2.methyl."	"X1.Propanol"	"X1.Propanol..2.methyl."	"X1.3.Dioxolane..2.4.5.trimethyl."	"X1.3.6.10.Dodecatetraene..3.7.11.trimethyl"	"X2.Buten.1.one..1..2.6.6.trimethyl.1.3.cyclohexadien.1.yl.."	"X2.Dodecanone"	"X2.Heptanone"	"X2.Heptenal"	"X2.Hexen.1.ol..acetate...Z.."	"X2.Hexenal"	"X2.Octenal...E.."	"X2.Pentenal...E.."	"X2.Propenal"	"X2.2.7.7.Tetramethyloctane"	"X2.4.Heptadienal...E.E.."	"X2.4.Hexadienal.294"	"X2.4.Hexadienal.430"	"X3.Hexen.1.ol..acetate"	"X3.Hexenal"	"X3.Methyl.3.buten.1.ol..acetate"	"X4.Oxohex.2.enal.571"	"X4.Oxohex.2.enal.684"	"X5.Hepten.2.ol..6.methyl."	"X5.Hepten.2.one..6.methyl."	"X5.Hexen.1.ol"	"X5.Hexene.1.ol..acetate"	"X5.9.Undecadien.2.one..6.10.dimethyl"	"à.Farnesene"	"Acetic.acid"	"Acetic.acid..butyl.ester"	"Acetic.acid..hexyl.ester"	"Acetic.acid..methyl.ester"	"Acetic.acid..pentyl.ester"	"Acetone"	"Benzaldehyde"	"Benzene"	"Benzophenone"	"Benzothiazole"	"Butanal"	"Butanal..2.methyl."	"Butane..1.methoxy.2.methyl."	"Butanoic.acid..2.methyl...2.methylbutyl.ester"	"Butanoic.acid..2.methyl...ethyl.ester"	"Butanoic.acid..2.methyl...hexyl.ester"	"Butanoic.acid..2.methyl...methyl.ester"	"Butanoic.acid..2.methyl...pentyl.ester"	"Butanoic.acid..2.methylbutyl.ester"	"Butanoic.acid..2.methylpropyl.ester"	"Butanoic.acid..3.hydroxy...ethyl.ester"	"Butanoic.acid..butyl.ester"	"Butanoic.acid..ethyl.ester"	"Butanoic.acid..hexyl.ester"	"Butanoic.acid..methyl.ester"	"Butanoic.acid..pentyl.ester"	"Butanoic.acid..propyl.ester"	"Butyl.2.methylbutanoate"	"Butyrolactone"	"Cyclopropane..nonyl."	"Decanal"	"Estragole"	"Ethanol"	"Ethyl.Acetate"	"Furan..2.methyl."	"Furan..2.pentyl."	"Furan..tetrahydro.2.2.5.5.tetramethyl."	"Heptanal"	"Heptane..2.2.4.6.6.pentamethyl"	"Hexamethylene.diacrylate"	"Hexanal"	"Hexane..1.methoxy."	"Hexanoic.acid..2.ethyl."	"Hexanoic.acid..butyl.ester"	"Hexanoic.acid..ethyl.ester"	"Hexanoic.acid..hexyl.ester"	"Hexanoic.acid..methyl.ester"	"Hexanoic.acid..propyl.ester"	"Isobutyl.acetate"	"Isopropyl.Alcohol"	"Methylene.chloride"	"n.Propyl.acetate"	"Octanal"	"Octane..2.2.6.trimethyl."	"Pentanal"	"Pentane..1.chloro."	"Pentanoic.acid..ethyl.ester"	"Phenol"	"Propanal"	"Propanoic.acid..2.methyl...butyl.ester"	"Propanoic.acid..2.methyl...ethyl.ester"	"Propanoic.acid..2.methyl...hexyl.ester"	"Propanoic.acid..butyl.ester"	"Propanoic.acid..ethyl.ester"	"Propanoic.acid..hexyl.ester"	"Propanoic.acid..propyl.ester"	"Tetrahydrofuran"	"Toluene"
"2023"	"12.6324788184629"	"3.87715104122363"	"0"	"0"	"0"	"13.9780894975579"	"0.0765245464490387"	"0"	"0"	"0.152037245480316"	"0.448469964056173"	"0.232262997244373"	"0.0603518024335771"	"0.0697215293040112"	"0.0296729448023881"	"0.232267942735173"	"0"	"0.0151737548737812"	"0"	"0"	"0.116711604693073"	"0"	"8.01319160216098"	"0.0509919665447438"	"0"	"0"	"0"	"0"	"0"	"0.613279434077597"	"0"	"24.2092288792924"	"0"	"0"	"0.0181598422190615"	"0"	"0.156414993936828"	"0"	"0"	"0"	"0.992209862891213"	"0"	"0.951815094033562"	"0.0689411308557084"	"0"	"0"	"0"	"0"	"0.0119354474976806"	"0"	"0.0361723088122711"	"0"	"0"	"0"	"0"	"0.83809551127473"	"0.065668205044005"	"0.13282698101525"	"0"	"0"	"0"	"0.101846448445237"	"0.431614742310256"	"28.1167155610857"	"0.441491876536811"	"3.1666956802127"	"0"	"0.252816457010827"	"0"	"0.0319943581840949"	"0"	"0.133360104923533"	"0"	"3.14016015477408"	"2.4415789171749"	"0"	"0"	"0"	"0.206772948560961"	"0"	"0"	"20.6183347147738"	"0"	"0"	"0.186669528457343"	"0.381007534949784"	"0.177745884857105"	"0"	"0"	"0"	"0"	"0.0212685777361917"	"0.0343355535290033"	"0.16004597328248"	"0"	"0.282242127273195"	"0"	"0"	"0"	"0"	"0"	"0.171796459424226"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"2029"	"10.9330008236221"	"6.85508654591248"	"6.82733263558141"	"0"	"0.105958657730195"	"16.8495985427792"	"0.185924963246214"	"0.467232676528269"	"0.0198606307689857"	"0.469065446569038"	"0.103931928896768"	"0.316887439247327"	"0.0177982959736216"	"0.189862233037273"	"0.799503765330475"	"0"	"0.0350503215312063"	"0"	"0"	"0"	"0.355054219447039"	"0"	"26.7856455501449"	"0.113758237392444"	"0"	"0"	"0"	"0"	"1.14630677159806"	"0.416463728300274"	"0"	"14.2338871309747"	"0"	"0"	"0"	"0.0969756483330319"	"0.246183368829979"	"0"	"0"	"0"	"6.82595805805084"	"0"	"21.477604318441"	"0.773831866773734"	"0"	"0.0509933594880987"	"0.0659422415077438"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0156113403114772"	"0"	"0"	"0.233368033529572"	"0"	"0"	"0"	"0"	"0"	"5.91319828679103"	"0"	"1.26013622091438"	"0"	"0"	"0"	"0.0732742586698175"	"0.0269949411424079"	"0"	"0.142403233770943"	"0.00254816877600758"	"0.221812024882945"	"0"	"0"	"0"	"0"	"0.212385814959564"	"0"	"0"	"39.4048144882533"	"0"	"0"	"0.765298616895778"	"0"	"0.360091526062159"	"0"	"0"	"0.961345980321147"	"0"	"0.0204987270868607"	"0.279636107069002"	"0.236298966396405"	"0"	"1.06163766810933"	"0.103170148711111"	"0"	"0"	"0"	"0"	"0"	"0"	"0.298374213037966"	"0"	"0"	"0"	"0"	"0"
"2041"	"4.2910381626434"	"1.98374235496401"	"0"	"0"	"0.038726169852079"	"17.271328685635"	"0.0479546128731387"	"0.0628192502866453"	"0.0189339307085648"	"0.297963214555721"	"0.262609834187457"	"0.0806335673920907"	"0"	"0"	"0.123166795459427"	"0"	"0.0148348802413307"	"0.0192798578351099"	"0"	"0"	"0.397293585190599"	"0"	"0.61940762769314"	"0.165541008637949"	"0"	"0"	"0"	"0"	"0"	"0.0795120474701289"	"0"	"3.88221181341137"	"0"	"0"	"0"	"0.00552246620003701"	"0.313285368491432"	"0"	"0"	"0"	"5.67045791638421"	"0"	"0.51230226591567"	"0.355497777046247"	"0"	"0"	"0.0595124845285952"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.397324272274406"	"0.194029781349878"	"0"	"0"	"0"	"0"	"0"	"1.45250894807466"	"18.296867778655"	"2.55925629387439"	"2.04205153384274"	"0.0383365368789004"	"0.488914058497021"	"0.0444469862029011"	"0.0295126054171072"	"0"	"0.0594929563843548"	"0.013467910144499"	"0.101806725306894"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3.63809234208473"	"0"	"0"	"0"	"0"	"0.223267132924358"	"0.145764577992153"	"0"	"0"	"0"	"0.025043450120935"	"0"	"0.047805827012259"	"0"	"0"	"0.149258255987933"	"0"	"0"	"0"	"0"	"0.0624612343089036"	"0.0168351201585313"	"0"	"0"	"0"	"0"	"0"	"0"
"2045"	"9.77571870933596"	"11.4256008163506"	"0.0228094607573898"	"0"	"0.0547248100718781"	"30.6067476480897"	"0.126976980169039"	"0.083613113012587"	"0"	"0.126845617779233"	"0.596315760916643"	"0"	"0"	"0.0489172597805487"	"0.081391375202398"	"1.48978086278437"	"0.0141043226793358"	"0.0161137864828101"	"0"	"0"	"0.0885144531945334"	"0"	"0.556602435534859"	"0.0169685939179214"	"0"	"0"	"0"	"0"	"0"	"0.0433400696220666"	"0"	"1.27996942492782"	"0"	"0"	"0"	"0"	"0.203289961533665"	"0.00812904736566054"	"0"	"0"	"5.72128042157808"	"0"	"0.392505109330632"	"0.11543232028816"	"0.0657716255334217"	"0"	"0.050458388107325"	"0.0162775135193793"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"15.3662526212984"	"0.255205710646731"	"1.67758814844712"	"0"	"0"	"0"	"0.387004071282183"	"0.225880484974713"	"87.9527571347388"	"0"	"9.34416565368495"	"0"	"0.759887637561648"	"0"	"0.0336135413682059"	"0.0482452174095146"	"0.0979792085701585"	"0.0264085998577859"	"4.90030451324999"	"4.19080672689664"	"0"	"0"	"0"	"0"	"0"	"0"	"3.15350171199462"	"0"	"0"	"0"	"8.34842255663575"	"0.406811235101554"	"0.907773131441398"	"0.044232953112194"	"0"	"0"	"0"	"0.0337591822786425"	"0.104926184807844"	"0"	"0.227459689356505"	"0"	"0.34518894766351"	"0"	"0.0203468918992241"	"0"	"1.69112228220259"	"0"	"0"	"5.93802741285581"	"0"	"0"	"0"	"0"
"2049"	"6.71006106994854"	"5.28426475920368"	"0.0391031810666074"	"0"	"0.0856735254084777"	"19.0963042904629"	"0.0904962858764591"	"0.179148323851071"	"0"	"0.146864019226498"	"0.387915667659504"	"0.0559985040994888"	"0"	"0.0278412143371054"	"0.0239913587066915"	"1.23728911694411"	"0"	"0.0305757888122588"	"0"	"0"	"0.157252744540817"	"0"	"6.07551260220247"	"0.0238736609507321"	"0"	"0"	"0"	"0"	"0.214209915846104"	"0.178691295871277"	"0"	"6.12368705305701"	"0"	"0"	"0"	"0.0448532859504948"	"0.242855081790449"	"0"	"0"	"0"	"2.51894554200766"	"0"	"0.527359982383304"	"0.0347521607979148"	"0.0730732212926631"	"0"	"0"	"0.0163343603411716"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"13.9048109906924"	"0.0405221983662792"	"0.289442511290442"	"0"	"0"	"0"	"0.555727989095872"	"0.0097451843583479"	"88.8240228713317"	"0"	"1.70300584881913"	"0"	"0.114482898705894"	"0"	"0.0274700867356527"	"0"	"0"	"0.001752937223434"	"8.93156634831322"	"19.3763490156101"	"0"	"0"	"0"	"0.0162679180595816"	"0"	"0"	"7.83542341767706"	"0"	"0"	"0.0418605357525917"	"7.05421215590017"	"0.0390414846622739"	"0.369752246223705"	"0"	"0"	"0"	"0"	"0"	"0.0285160780829693"	"0"	"0.101399464285375"	"0.316440857826806"	"0.696646373295518"	"0"	"0"	"0"	"1.74747282036095"	"0"	"0"	"6.87584500344551"	"0"	"0"	"0"	"0"
"2051"	"22.485731709224"	"7.55675750160274"	"0.0325444076118399"	"0"	"0.0161309868184448"	"21.7015190843276"	"0.0450672759682892"	"0.0354527934576955"	"0.00559375635232124"	"0.0962894625740778"	"0.379205236658171"	"0.0193012837552578"	"0"	"0.170640939439901"	"0.129989992650853"	"3.68707586039748"	"0.0317078557690804"	"0.00569715259643801"	"0"	"0"	"0.0402189889450065"	"0"	"6.97002974840899"	"0.00592309977639829"	"0"	"0"	"0"	"0"	"0.252317131330821"	"0.0282639203790283"	"0"	"0"	"0"	"0"	"0"	"0.0265800666114178"	"0.10092372523572"	"0"	"0"	"0"	"3.8777158616484"	"0"	"0.395524838553313"	"0"	"0.0162316466780292"	"0"	"0.0463670586211749"	"0"	"0"	"0"	"0"	"0"	"0.0693780979782027"	"0"	"0"	"2.86408084843557"	"0.032342110612481"	"0.0460259878348162"	"0"	"0"	"0"	"0.441606531358967"	"0.0561877472518881"	"17.1565573546198"	"0"	"0.286528778947039"	"0"	"0"	"0"	"0.0270970478320016"	"0.161856167810736"	"0.0983437055337514"	"0.0751205963754632"	"9.69434975685269"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"13.6484371335199"	"0"	"0"	"0.229271887167138"	"1.21226428001814"	"0.0955359795474802"	"0.0927859130924273"	"0"	"0"	"0"	"0"	"0"	"0.0417259549982018"	"0"	"0.26462499804544"	"0"	"0"	"0"	"0.0158788485293888"	"0"	"0.230650829515425"	"0"	"0"	"0.283541233405782"	"0"	"0"	"0"	"0"
"2053"	"10.4305415906615"	"5.11816294529936"	"0.591506382335593"	"0"	"0.180325907391586"	"55.7185674432664"	"0.125688244789491"	"0.219256999997901"	"0.00868568597775366"	"0.210983368773261"	"0.716827283356389"	"0.0616203428681782"	"0"	"0.0736492769625079"	"0"	"0.507995499514057"	"0.0798710308505793"	"0.0651101086707823"	"0"	"0"	"0.161004674711845"	"0"	"6.70993066648754"	"0.0230964770683029"	"0"	"0"	"0"	"0"	"0.209177086984905"	"0.258552812488848"	"0"	"10.0964865142855"	"0"	"0"	"0"	"0.117318054631365"	"0.36073367996591"	"0"	"0"	"0"	"19.3315151566039"	"0"	"6.63383697913277"	"1.37845329381414"	"4.29639289410214"	"0.0831005073542223"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"36.0481650653977"	"0.320429771218301"	"2.19182061869087"	"0"	"0"	"0.12643132875588"	"0.223061631887958"	"0.502294324223908"	"154.297506470498"	"0.677964411735689"	"7.75476654778723"	"0"	"0.929996872330198"	"0.0512245142141047"	"0.0161967115385826"	"0"	"0"	"0"	"3.81879771533167"	"99.649114281696"	"0"	"0"	"0"	"0"	"0"	"0"	"13.7617964579664"	"0"	"0"	"0.28030113792604"	"17.8845532994817"	"0.577039335170752"	"2.48762261410222"	"0.0523601312361852"	"0"	"0"	"0"	"1.16468965748867"	"0.0291146175531546"	"0"	"0.168588749204963"	"0.196926697075734"	"1.43755575753632"	"0"	"0"	"0"	"2.46845356669808"	"0"	"0.118409590401202"	"8.60575092413197"	"0"	"0"	"0.0376296461115088"	"0"
"2083"	"27.1999506499328"	"10.1663200860424"	"0.0608908252197679"	"0"	"0.12003085320992"	"56.7190907532666"	"0.184542880876096"	"0.279820531511525"	"0.008210193614252"	"0.450206347322759"	"0.744735835871471"	"0.319299643436347"	"0"	"0.0996004904869269"	"0.00885861959197666"	"2.67383843692138"	"0.0366000440760142"	"0"	"0"	"0"	"0.287287083655898"	"0"	"31.0578751970706"	"0.0562939229724563"	"0"	"0"	"0"	"0"	"1.25525757156231"	"0.132975827885048"	"0"	"0"	"0"	"0"	"0"	"0.0779900584101367"	"0.270663457028712"	"0.00971273363583794"	"0"	"0"	"6.81247727919141"	"0"	"0.867876496747981"	"0.411620999018649"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"6.81873644992192"	"0.0569051480407835"	"0.205194565465124"	"0"	"0"	"0"	"0.740991258257189"	"0.21744166991586"	"40.4448861463813"	"0"	"1.14025590458485"	"0"	"0.172988937673879"	"0.00716894486919407"	"0.0218967378098742"	"0.164075788141292"	"0.190078752912502"	"0.0613946856381887"	"8.30980728987137"	"2.46623758478511"	"0"	"0"	"0"	"0.0545855065256988"	"0"	"0"	"59.7960062233825"	"0"	"0"	"0.33616531142341"	"24.8485649866924"	"0.16780529703278"	"1.03865409935186"	"0.018845321444111"	"0"	"0"	"0"	"0"	"0.138052103876241"	"0"	"1.01294403287995"	"0"	"0.952343280573968"	"0"	"0"	"0"	"2.61935746966007"	"0"	"0"	"1.79158637862803"	"0"	"0"	"0"	"0"
"2089"	"27.7296669285437"	"6.55056110394934"	"0.808125533768359"	"0"	"0.0769880407388162"	"34.713292173994"	"0.216485521874647"	"0"	"0"	"0.284147637834546"	"1.03684676015074"	"0.102282129886563"	"0"	"0.112218889913809"	"0.0244353098872662"	"0"	"0.0227719000586136"	"0.0616573109759399"	"0"	"0"	"0.244362598643243"	"0"	"7.1006709687961"	"0.142586806528622"	"0"	"0"	"0"	"0"	"0"	"0.377876174290391"	"0"	"14.6343661800568"	"0"	"0"	"0"	"0"	"0.297599312976592"	"0.00766118498238268"	"0"	"0.0114700229989446"	"3.76129451473747"	"0"	"3.5419989607251"	"0.272504719011036"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4.41203259941272"	"0.703834202404012"	"0.131902414556688"	"0"	"0"	"1.32465560956703"	"0"	"5.11184554892999"	"51.1588067148178"	"2.79576823219719"	"1.69627808488425"	"0.0711361820612032"	"3.01115748054684"	"0.46022303561369"	"0.0234444838157159"	"0.025257990019541"	"0.0469051172414186"	"0"	"1.29298907431386"	"0"	"0"	"0"	"0"	"0.132790643105969"	"0"	"0"	"25.6649715909361"	"0"	"0"	"0.372690249530474"	"0.277791341339107"	"0.262681006253699"	"0"	"0"	"0"	"0"	"0.0179726159613245"	"0.0570508722214359"	"0.27053541656969"	"0"	"0"	"0.0851815928645323"	"0"	"0"	"0"	"0"	"0.166256434907097"	"0"	"0.200751051862098"	"0"	"0"	"0"	"0.0472205096246926"	"0"
"2104"	"14.0568313452322"	"18.0576497661931"	"0.00699706336999601"	"0"	"0.11140985359466"	"27.8913437213068"	"0.157448696144027"	"0.0802556185325373"	"0.0105813597604206"	"0.276740573146494"	"0.994252650909077"	"0.112696082039679"	"0"	"0.113950348482677"	"0.0947460279948396"	"0"	"0.0100476911811994"	"0.0209196145963683"	"0"	"0"	"0.247996079327752"	"0"	"5.20750700258408"	"0.116537333555453"	"0"	"0"	"0"	"0"	"0.150872272091555"	"0.311047423862637"	"0"	"11.1546718761501"	"0"	"0"	"0"	"0.0146724960192779"	"0.234047086808797"	"0"	"0"	"0.0124138478763671"	"3.41288901630643"	"0"	"1.27860792890101"	"0.129162324354271"	"0"	"0"	"0.0474161142728741"	"0"	"0"	"0"	"0.00307019243062308"	"0"	"0"	"0"	"0"	"18.3716376942418"	"1.57385643830946"	"0.2988679640011"	"0.0123005280510152"	"0.0264577578558727"	"1.41105846528152"	"0"	"1.46923221459869"	"85.2852937985968"	"1.46846415800464"	"1.12505569136716"	"0"	"3.25647472677331"	"0.562517675955664"	"0.0296074678733452"	"0.00538307912242028"	"0"	"0.0152090702350466"	"0.651311023210225"	"0"	"0"	"0"	"0"	"0.0953591173063587"	"0"	"0"	"6.04179177046246"	"0"	"0"	"0.49809874515243"	"0.581867278270875"	"0.549056830376687"	"0"	"0.0813016476896315"	"0"	"0"	"0.0238029745969882"	"0"	"0.0608207842119333"	"0"	"0"	"0.0664170402023873"	"0.291236793881892"	"0"	"0"	"0"	"0.168022307540321"	"0"	"0.0536419248486163"	"2.69865449656941"	"0"	"0"	"0"	"0"
