"nursery_id"	"X.Z..4.Decen.1.ol"	"X1.Butanol"	"X1.Butanol..2.methyl....S.."	"X1.Butanol..2.methyl...acetate"	"X1.Heptanol"	"X1.Hexanol"	"X1.Pentanol"	"X1.Propanol"	"X1.Propanol..2.methyl."	"X1.3.Dioxolane..2.4.5.trimethyl."	"X2.Butenoic.acid..ethyl.ester...Z.."	"X2.Hexenal"	"X2.Propanone..1.hydroxy."	"X2.Propenal"	"X2.3.Butanediol...S..R..R...."	"X2.3.Butanedione"	"à.Farnesene"	"Acetic.acid"	"Acetic.acid..butyl.ester"	"Acetic.acid..hexyl.ester"	"Acetic.acid..methyl.ester"	"Acetic.acid..pentyl.ester"	"Acetone"	"Benzene"	"Benzene...methoxymethyl.."	"Butanal"	"Butanoic.acid..2.methyl...ethyl.ester"	"Butanoic.acid..2.methyl...hexyl.ester"	"Butanoic.acid..2.methylbutyl.ester"	"Butanoic.acid..2.methylpropyl.ester"	"Butanoic.acid..hexyl.ester"	"Butanoic.acid..methyl.ester"	"Butanoic.acid..pentyl.ester"	"Butanoic.acid..propyl.ester"	"Butyrolactone"	"Carbon.disulfide"	"Dimethyl.ether"	"Estragole"	"Ethanol"	"Ethyl.Acetate"	"Furan..2.ethyl."	"Furfural"	"Heptanal"	"Hexamethylene.diacrylate"	"Hexanal"	"Hexane..1.methoxy."	"Hexanoic.acid..ethyl.ester"	"Hexanoic.acid..propyl.ester"	"Isobutyl.acetate"	"Isopropyl.Alcohol"	"Methyl.formate"	"Methyl.glyoxal"	"Methylene.chloride"	"n.Propyl.acetate"	"Nitrous.oxide"	"Pentanal"	"Propanal"	"Propanoic.acid..butyl.ester"	"Propanoic.acid..hexyl.ester"	"Propanoic.acid..propyl.ester"	"Tetrahydrofuran"	"Trimethylene.oxide"
"2023"	"0"	"4.00017476883064"	"0"	"0"	"0"	"0"	"0.142011576712398"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.30139981063578"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1.00275934300701"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"2029"	"0"	"3.74923019035498"	"0"	"2.34128232951484"	"0.0363361720080729"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"7.36526812960757"	"0.265368478789306"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.076065515194884"	"0"	"0"	"0"	"0"	"0"	"13.5130073168467"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"2041"	"0"	"1.28421963709229"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0368612935544918"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.765932873204943"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"2045"	"0"	"3.22497939967642"	"0"	"0"	"0"	"0"	"0.196722727181373"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3.08261137992021"	"0"	"0"	"0"	"0"	"0"	"0"	"1.05171921633354"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2.75411880859787"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"2049"	"0"	"2.13021078948804"	"0"	"0"	"0"	"0"	"0.123149719808149"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1.70721993094115"	"6.15131625534597"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"2051"	"0"	"7.04171720297124"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2.18276100681479"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0145204843038293"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.00848581448608442"	"0"	"0"	"0"	"3.03591941490819"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.128046524311138"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"2053"	"0"	"3.58089177161301"	"0"	"0"	"0"	"0"	"0.246092774601152"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2.27745146753134"	"0.473234492616493"	"1.47498745183866"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2.66227592118638"	"0"	"0"	"0"	"0"	"0"	"0"	"1.13812021516899"	"34.2103706004417"	"0"	"0"	"0"	"0"	"0"	"0"	"6.1399160525304"	"0"	"0"	"0"	"0"	"0"	"0"	"0.399847656493498"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"2083"	"0"	"9.28880665323994"	"0"	"0"	"0"	"0"	"0.254327931553295"	"0"	"0.00302522624630856"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.140568926889106"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.00747775488530571"	"0"	"0"	"0"	"2.83780637085419"	"0"	"0"	"0"	"0"	"0"	"20.4203878011927"	"0"	"8.48580641716802"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"2089"	"0"	"8.83396645312492"	"0"	"0"	"0"	"0"	"0.330313000866757"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1.12839076201959"	"0.0868130710788942"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.959278170804341"	"0"	"0"	"0"	"0"	"0.303339585845233"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"2104"	"0"	"4.27140109141402"	"0"	"0"	"0"	"0"	"0.302120140302796"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.989533797516859"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"2110"	"0"	"5.70561508844862"	"0"	"0"	"0"	"0"	"0.289077459480099"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.204065369846007"	"0"	"0"	"0"	"0"	"0.130873911855551"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"2135"	"0"	"8.83486268775786"	"0"	"0"	"0"	"0"	"0.239980328523252"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.920450843634836"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"2139"	"0"	"2.53587849980929"	"0"	"0"	"0.0485589448369934"	"0"	"0.301299963797863"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2.43901919682973"	"0"	"0"	"0"	"0"	"0"	"0"	"3.68020098650824"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"7.12461575633376"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.309141201264489"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"2145"	"0"	"2.18943510368617"	"0"	"0"	"0"	"0"	"0.10847947769975"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4.66260854037812"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
