"nursery_id"	"2-hexanone-1,1,1,3.3-d5"	"Benzaldehyde-d6"	"Ethyl acetate-d8"
"1"	2023	3192789	1011022	666828
"2"	2029	3112133	1067237	954841
"3"	2041	3593200	1075371	1187250
"4"	2045	3184416	1050529	843052
"5"	2049	3318619	1053546	789074
"6"	2051	3267453	1023248	736584
"7"	2053	2775307	952786	262945
"8"	2083	3109222	1061802	733117
"9"	2089	3304272	1052657	854944
"10"	2104	3397794	1032476	767421
"11"	2110	3553871	1090237	1115603
"12"	2135	3336811	1035080	652250
"13"	2139	2474992	998565	442483
"14"	2145	3505723	1060901	941286
"15"	2146	3212004	1011127	1015668
"16"	2149	3538944	1047279	953490
"17"	2153	3054738	978400	787729
"18"	2170	3385553	1008848	953522
"19"	2188	2633525	915119	299026
"20"	2194	3108738	975249	1009574
"21"	2212	3106195	1057621	926396
"22"	2215	3057268	977347	921482
"23"	2228	3327074	972081	1055713
"24"	2236	3338948	986622	857285
"25"	2242	3473685	979019	1146284
"26"	2246	2630986	913713	522397
"27"	2249	3381355	1082222	996157
"28"	2250	3037421	975340	932351
"29"	2251	3248358	966233	918334
"30"	2254	3408195	999670	1070965
"31"	2260	2909772	896041	811834
"32"	2272	2806494	949970	807130
"33"	2305	3075408	923052	851743
"34"	2309	3808262	1267342	1174968
"35"	2318	4184743	1214329	1445950
"36"	2332	3833248	1112372	1149866
"37"	2336	3085173	1130151	1038384
"38"	2339	2626436	1146433	703695
"39"	3001	3060586	1654960	672155
"40"	3004	4240742	1406109	1512329
"41"	3009	4107779	1322543	1444871
"42"	3010	3816357	1283519	1074947
"43"	3018	2512930	1289310	289488
"44"	3019	3541416	1365557	1257979
"45"	3022	3029332	1294332	NA
"46"	3028	3881123	1446749	1405625
"47"	3034	4018321	1314287	1480550
"48"	3044	3773685	1262315	1395092
"49"	3046	4287245	1560850	1341698
"50"	3053	2107094	1288749	233084
"51"	3056	3300217	1282478	784102
"52"	3064	3859901	1288519	1293518
"53"	3078	4473327	1556783	1643303
"54"	3082	3564346	1281211	1109251
"55"	3102	3959121	1313144	1397066
"56"	3107	3246878	1234856	871552
"57"	3109	3383353	1228633	927644
"58"	3134	2829594	1188503	393932
"59"	3144	4080236	1230698	1373546
"60"	3146	3872270	1256301	424815
"61"	3148	4058316	1228550	1283741
"62"	3153	2790651	1186744	496626
"63"	3172	4161171	1283602	1343526
"64"	3178	4085455	1231486	1227073
"65"	3184	3985245	1248705	1116633
"66"	3190	3673372	1186035	883182
"67"	3205	3986859	1189165	959447
"68"	3211	4417932	1368186	1140918
"69"	3217	4072870	1185934	848488
"70"	3222	4134762	1156829	1170203
"71"	3224	3629745	1163515	1149074
"72"	3233	2953769	1107995	424929
"73"	3235	4424546	1372578	1343436
"74"	3240	4132736	1178712	1309235
"75"	3244	3188026	1116562	774763
"76"	3248	3369685	1112195	789816
"77"	3263	3843844	1140366	1246843
"78"	3267	4153996	1173830	1390266
"79"	3269	3292135	1094208	1020175
"80"	3295	3506463	1141555	1003623
"81"	3309	3573430	1168705	1052293
"82"	3313	4148596	1169629	1414618
"83"	3323	3457254	1148289	1053711
"84"	3329	3970810	1121695	1259657
"85"	3333	3315253	1139016	930488
"86"	3335	3807909	1158886	1119786
"87"	3338	3910151	1206754	1169195
"88"	3351	3736277	1114168	1065062
"89"	4003	3570930	1132370	863223
"90"	4005	2681065	1089394	490164
