Row,Block,Tree,nursery_id,year_planted,guard_tree,check_tree,dead_tree,PLANTID,PLANTID_ALT1,ACCID,ACP,ACNO,ACS,kentville_block,origin,apple_id,type
15,North,6,5010,2013,0,0,1,"Aargauer Jubilaums",,134397,PI,134819,.04,NULL,USDA,390,dessert
15,South,38,5011,2013,0,0,0,"Aargauer Jubilaums",,134397,PI,134819,.04,NULL,USDA,390,dessert
12,North,20,6160,2013,0,0,0,Acme,,241500,PI,325531,.07,NULL,USDA,546,dessert
11,South,50,6162,2013,0,0,0,Acme,,241500,PI,325531,.07,NULL,USDA,546,dessert
10,North,5,5072,2013,0,0,0,Aivania,,331997,PI,437061,.06,NULL,USDA,411,cider
9,South,55,5074,2013,0,0,0,Aivania,,331997,PI,437061,.06,NULL,USDA,411,cider
4,North,58,3244,2013,0,0,0,Akane,"Prime Red",196060,PI,255899,,113,Kentville,245,dessert
3,South,17,3245,2013,0,0,0,Akane,"Prime Red",196060,PI,255899,,113,Kentville,245,dessert
18,North,13,3246,2014,0,0,0,Akane,"Prime Red",196060,PI,255899,,113,Kentville,245,dessert
16,North,31,6019,2013,0,0,0,Akin,,6176,PI,588958,.10,NULL,USDA,501,dessert
5,South,14,6021,2013,0,0,0,Akin,,6176,PI,588958,.10,NULL,USDA,501,dessert
12,North,6,6196,2013,0,0,0,Alexander,,9141,PI,589107,.09,NULL,USDA,558,cider
9,South,40,6198,2013,0,0,1,Alexander,,9141,PI,589107,.09,NULL,USDA,558,cider
2,North,22,1232,2013,0,1,0,Ambrosia,,NULL,,NULL,,113,Kentville,1216,dessert
10,North,2,1234,2013,0,1,0,Ambrosia,,NULL,,NULL,,113,Kentville,1216,dessert
5,North,4,6236,2013,0,0,0,Amelia,,235953,PI,316482,.05,NULL,USDA,571,dessert
14,South,49,6237,2013,0,0,0,Amelia,,235953,PI,316482,.05,NULL,USDA,571,dessert
15,North,2,5022,2013,0,0,0,"American Summer Pearmain",,12112,PI,589214,.09,NULL,USDA,394,dessert
17,South,34,5023,2013,0,0,0,"American Summer Pearmain",,12112,PI,589214,.09,NULL,USDA,394,dessert
11,North,45,5246,2013,0,0,0,"Amur Naliv",,17947,PI,589541,.04,NULL,USDA,469,dessert
