"apple_id"	"nursery_id"
"1"	390	5010
"2"	390	5011
"3"	546	6160
"4"	546	6162
"5"	411	5072
"6"	411	5074
"7"	245	3244
"8"	245	3245
"9"	245	3246
"10"	501	6019
"11"	501	6021
"12"	558	6196
"13"	558	6198
"14"	1216	1232
"15"	1216	1234
"16"	571	6236
"17"	571	6237
"18"	394	5022
"19"	394	5023
"20"	469	5246
"21"	469	5247
"22"	469	5248
"23"	468	5244
"24"	468	5245
"25"	493	5318
"26"	493	5320
"27"	204	3106
"28"	204	3107
"29"	568	6226
"30"	568	6228
"31"	513	6055
"32"	513	6056
"33"	476	5267
"34"	476	5268
"35"	174	2336
"36"	174	2337
"37"	162	2287
"38"	162	2288
"39"	500	6016
"40"	500	6018
"41"	541	6146
"42"	541	6147
"43"	401	5042
"44"	401	5043
"45"	72	1218
"46"	72	1219
"47"	63	1190
"48"	63	1192
"49"	529	6106
"50"	529	6108
"51"	445	5174
"52"	445	5175
"53"	554	6184
"54"	554	6185
"55"	463	5228
"56"	463	5230
"57"	1240	6103
"58"	1240	6105
"59"	155	2263
"60"	155	2264
"61"	377	4310
"62"	377	4311
"63"	517	6068
"64"	517	6069
"65"	556	6191
"66"	556	6192
"67"	527	6098
"68"	527	6099
"69"	435	5145
"70"	435	5146
"71"	547	6163
"72"	547	6165
"73"	461	5222
"74"	461	5223
"75"	512	6052
"76"	512	6053
"77"	512	6054
"78"	492	5315
"79"	492	5316
"80"	548	6166
"81"	548	6167
"82"	429	5126
"83"	429	5128
"84"	388	5003
"85"	388	5004
"86"	388	5005
"87"	444	5171
"88"	444	5172
"89"	530	6109
"90"	530	6111
"91"	503	6026
"92"	503	6027
"93"	424	5111
"94"	424	5113
"95"	438	5153
"96"	438	5155
"97"	537	6133
"98"	537	6135
"99"	374	4301
"100"	374	4302
"101"	406	5057
"102"	406	5059
"103"	403	5048
"104"	403	5050
"105"	383	4328
"106"	383	4329
"107"	555	6187
"108"	555	6188
"109"	448	5183
"110"	448	5184
"111"	443	5168
"112"	443	5169
"113"	480	5280
"114"	480	5281
"115"	494	5322
"116"	494	5323
"117"	434	5141
"118"	434	5142
"119"	549	6170
"120"	549	6171
"121"	439	5156
"122"	439	5158
"123"	437	5150
"124"	437	5152
"125"	389	5006
"126"	389	5007
"127"	256	3278
"128"	256	3279
"129"	481	5282
"130"	481	5284
"131"	570	6232
"132"	570	6233
"133"	570	6234
"134"	40	1118
"135"	40	1120
"136"	486	5297
"137"	486	5298
"138"	24	1071
"139"	24	1072
"140"	452	5195
"141"	452	5196
"142"	452	5197
"143"	441	5162
"144"	441	5164
"145"	422	5106
"146"	422	5107
"147"	366	4277
"148"	366	4278
"149"	191	3052
"150"	191	3053
"151"	373	4298
"152"	373	4299
"153"	433	5139
"154"	433	5140
"155"	485	5295
"156"	485	5296
"157"	491	5312
"158"	491	5313
"159"	381	4322
"160"	381	4324
"161"	398	5033
"162"	398	5035
"163"	178	3004
"164"	178	3005
"165"	510	6046
"166"	510	6047
"167"	442	5165
"168"	442	5167
"169"	387	4340
"170"	387	5002
"171"	1217	6307
"172"	1217	6308
"173"	522	6083
"174"	522	6084
"175"	474	5261
"176"	474	5262
"177"	262	3295
"178"	262	3296
"179"	384	4331
"180"	384	4333
"181"	466	5237
"182"	466	5239
"183"	153	2257
"184"	153	2259
"185"	475	5264
"186"	475	5265
"187"	426	5117
"188"	426	5118
"189"	538	6136
"190"	538	6137
"191"	399	5036
"192"	399	5038
"193"	154	2260
"194"	154	2261
"195"	508	6041
"196"	508	6042
"197"	456	5207
"198"	456	5209
"199"	421	5103
"200"	421	5104
"201"	564	6214
"202"	564	6216
"203"	450	5189
"204"	450	5191
"205"	516	6064
"206"	516	6065
"207"	367	4280
"208"	367	4281
"209"	544	6155
"210"	544	6156
"211"	386	4337
"212"	386	4338
"213"	446	5177
"214"	446	5178
"215"	134	2194
"216"	134	2195
"217"	440	5159
"218"	440	5160
"219"	440	5161
"220"	482	5285
"221"	482	5287
"222"	146	2234
"223"	146	2235
"224"	158	2272
"225"	158	2273
"226"	402	5045
"227"	402	5046
"228"	533	6119
"229"	533	6120
"230"	396	5027
"231"	396	5028
"232"	396	5029
"233"	8	1023
"234"	8	1024
"235"	471	5252
"236"	471	5254
"237"	542	6149
"238"	542	6150
"239"	164	2293
"240"	164	2295
"241"	449	5186
"242"	449	5187
"243"	382	4325
"244"	382	4327
"245"	407	5060
"246"	407	5062
"247"	430	5130
"248"	430	5131
"249"	552	6178
"250"	552	6179
"251"	552	6180
"252"	393	5019
"253"	393	5020
"254"	413	5078
"255"	413	5080
"256"	400	5039
"257"	400	5040
"258"	515	6061
"259"	515	6062
"260"	528	6101
"261"	528	6102
"262"	432	5135
"263"	432	5136
"264"	376	4307
"265"	376	4308
"266"	417	5091
"267"	417	5092
"268"	99	1302
"269"	99	1303
"270"	212	3133
"271"	212	3134
"272"	67	1202
"273"	67	1203
"274"	67	1204
"275"	137	2204
"276"	137	2205
"277"	171	2317
"278"	171	2318
"279"	171	2319
"280"	239	3224
"281"	239	3225
"282"	3	1008
"283"	3	1009
"284"	227	3184
"285"	227	3186
"286"	31	1091
"287"	31	1093
"288"	4	1010
"289"	4	1012
"290"	81	1248
"291"	81	1249
"292"	160	2278
"293"	160	2279
"294"	205	3109
"295"	205	3110
"296"	58	1176
"297"	58	1177
"298"	1219	3227
"299"	1219	3228
"300"	200	3089
"301"	200	3090
"302"	197	3077
"303"	197	3078
"304"	175	2338
"305"	175	2339
"306"	193	3058
"307"	193	3059
"308"	190	3049
"309"	190	3051
"310"	222	3170
"311"	222	3171
"312"	167	2302
"313"	167	2303
"314"	216	3148
"315"	216	3149
"316"	1221	6262
"317"	1221	6263
"318"	223	3172
"319"	223	3173
"320"	65	1196
"321"	65	1197
"322"	1223	1155
"323"	1223	1156
"324"	206	3113
"325"	206	3114
"326"	225	3178
"327"	225	3179
"328"	214	3142
"329"	214	3144
"330"	150	2249
"331"	150	2250
"332"	254	3271
"333"	1	1001
"334"	1	1002
"335"	176	2341
"336"	176	2343
"337"	188	3044
"338"	188	3045
"339"	39	1115
"340"	39	1116
"341"	39	1117
"342"	152	2254
"343"	152	2255
"344"	236	3211
"345"	236	3213
"346"	163	2290
"347"	163	2291
"348"	157	2269
"349"	157	2271
"350"	142	2219
"351"	142	2220
"352"	5	1014
"353"	5	1015
"354"	1228	4115
"355"	1228	4116
"356"	1228	4117
"357"	148	2242
"358"	148	2243
"359"	57	1172
"360"	57	1173
"361"	207	3115
"362"	207	3116
"363"	45	1133
"364"	45	1134
"365"	1230	6281
"366"	1230	6282
"367"	12	1035
"368"	12	1036
"369"	177	3001
"370"	177	3002
"371"	183	3025
"372"	183	3026
"373"	84	1256
"374"	84	1257
"375"	84	1258
"376"	1301	2327
"377"	1301	2328
"378"	136	2200
"379"	136	2201
"380"	136	2202
"381"	139	2209
"382"	139	2210
"383"	7	1019
"384"	7	1020
"385"	250	3259
"386"	250	3261
"387"	182	3019
"388"	182	3021
"389"	186	3037
"390"	186	3039
"391"	138	2206
"392"	138	2207
"393"	235	3208
"394"	235	3210
"395"	189	3046
"396"	189	3048
"397"	60	1181
"398"	60	1183
"399"	195	3064
"400"	195	3065
"401"	26	1076
"402"	26	1078
"403"	59	1178
"404"	59	1179
"405"	9	1025
"406"	9	1026
