PLANTID,apple_id,ACCID,origin,species,use,country,world,release_year,acidity_16_stor,brix_16_stor,weight_16_stor,firmness_16_stor,brix_acid_16_stor,acidity_16_harv,juiciness_16_harv,date_16_harv,weight_16_harv,brix_16_harv,firmness_16_harv,flowering_16_harv,precocity_16_harv,brix_acid_16_harv,time_ripen_16_harv,percent_acidity_16,percent_brix_16,percent_weight_16,percent_firmness_16,percent_brix_acid_16,acidity_17_stor,brix_17_stor,weight_17_stor,firmness_17_stor,brix_acid_17_stor,brix_17_harv,acidity_17_harv,date_17_harv,firmness_17_harv,weight_17_harv,brix_acid_17_harv,percent_acidity_17,percent_brix_17,percent_weight_17,percent_firmness_17,percent_brix_acid_17,tpc,frap,time_ripen_2017
Enterprise,3,25048,Kentville,NA,dessert,United States,new,1993,5.494,13.9,167.911,6.0363,2.530032763,6.827005124,15.78567257,304.3037758,202.5008232,13.14982021,7.400917542,153.9841382,1.052542193,1.96852251,150.6535842,-19.5254742,5.704867279,-17.08132474,-18.43849136,28.52445171,9.112,14.15,232.495,5.9456,1.596903326,11.71050146,11.77744594,271.7880778,9.721312767,231.5471548,0.987103293,-22.63178245,20.83171718,0.409352975,-38.83953595,61.77671964,3.35427968,2.866366132,117.861319155736
Florina,4,86849,Kentville,domestica,dessert,France,old,1977,3.8324,13.8,128.48,5.3494,3.600876735,4.012641918,15.48567257,312.7175027,156.217405,13.10971485,6.7318781,153.0592165,1.023435261,3.426369582,160.6896777,-4.491851555,5.265447479,-17.75564315,-20.53629135,5.093062774,NA,10,165.208,6.1048,NA,11.22175449,7.986802218,271.3793452,9.747240575,185.5176908,1.388558117,NA,-10.88737494,-10.94757633,-37.36894095,NA,4.381099666,4.966832772,118.288560644278
Liberty,5,5016,Kentville,domestica,dessert,United States,new,1978,3.9128,13,139.534,5.06865,3.39610541,5.754196224,15.07328259,296.9166281,156.1079631,12.01704644,6.608581982,151.9676369,0.925695951,2.098097475,145.0882589,-32.00092858,8.179660201,-10.6169876,-23.30200315,61.86595,6.499,12.9,167.43,6.1086,1.984920757,11.3188589,11.13817787,271.5856771,9.581089492,181.5760067,1.104211195,-41.65113834,13.9690857,-7.790680599,-36.24315893,79.75915899,4.599881753,5.309309287,119.586244254296
Judaine,6,NA,Kentville,domestica,cider,France,old,NA,6.1908,12.7,105.926,7.7368,2.051431156,7.585420898,11.34631474,311.7342457,124.0676611,12.96033347,9.972144565,154.2727995,2.014587165,1.66812219,157.7635514,-18.38554402,-2.008694211,-14.6223931,-22.41588607,22.97847052,6.9948,12.2,111.272,7.5842,1.744152799,10.89905144,11.12694502,268.2190525,12.68708103,111.8238701,1.023570479,-37.13638393,11.93634668,-0.493517229,-40.22108017,70.39889632,5.167901781,5.799800623,114.049652059583
Moira,12,24866,Kentville,domestica,dessert,Canada,new,1978,5.762,12.8,79.3075,3.962875,2.221450885,6.793034112,13.90006604,297.3869555,104.6173803,12.58779756,5.256382758,152.9925428,1.015444145,1.801894934,144.4653776,-15.17781444,1.685778938,-24.19280641,-24.60832511,23.28415175,7.0216,11.9,112.128,4.2076,1.694770423,11.09376973,10.1858648,271.5085905,8.342053112,134.4272698,1.123442562,-31.06525428,7.267414873,-16.5883528,-49.56157743,50.85510199,5.009882241,5.320114704,118.536695599895
INR 6407,13,NA,Kentville,domestica,dessert,Canada,new,NA,6.0702,15,129.292,6.7293,2.471088267,5.424962453,9.08567257,308.6937041,146.8337421,14.21798899,8.950785218,151.9661539,1.441380197,2.646318591,156.9680105,11.89386198,5.500152019,-11.94666965,-24.81888643,-6.621663944,6.566,12.8,103,8.0164,1.949436491,11.95066238,8.685974092,260.6647072,9.50480252,96.00580171,1.429254766,-24.4068664,7.107033833,7.285182937,-15.65947864,36.39531156,2.751783508,2.99637308,108.657282719117
CBR 4T 29,14,NA,Kentville,domestica,dessert,Canada,new,NA,3.7252,11.3,181.7655556,6.594,3.03339418,3.973089051,14.14631474,311.6156403,212.6250271,11.36762459,8.662855815,153.0404443,0.988784319,2.915037533,157.3789238,-6.239201986,-0.594887625,-14.513565,-23.88191445,4.060210044,2.7202,11.2,135.906,7.9234,4.117344313,10.05085212,4.894038691,274.7198335,9.660376005,192.7323435,2.197624217,-44.41809369,11.4333379,-29.48459114,-17.9804182,87.35433842,4.883580265,5.360555502,121.677797426361
Co-op 29,15,NA,Kentville,domestica,dessert,United States,new,2004,5.1992,12,116.3,6.1415,2.308047392,5.624962453,14.28567257,308.6937041,131.4337421,11.58465566,8.896785218,153.9661539,1.473531087,2.057524669,154.9680105,-7.569160805,3.58529726,-11.51435078,-30.9694474,12.17592802,5.5878,12,135.97,6.6554,2.147535703,9.950662381,8.056174092,274.6647072,10.04300252,149.5858017,1.28668612,-30.63953266,20.59498695,-9.102335622,-33.73097351,66.90439641,5.717452242,6.53363472,120.657282719117
Topaz,16,NA,Kentville,domestica,dessert,Czech Republic,old,2001,3.2294,12.7,119.0955556,5.071666667,3.932619062,5.652827734,NA,311.1683637,136.1552047,12.34239002,7.642045884,152.3360493,1.020740488,2.160290545,159.0199344,-42.87106999,2.897412742,-12.52956082,-33.63470014,82.04121068,9.782,14,182.3475,7.59275,1.431200164,12.10098252,12.36001188,281.9265069,9.444767663,208.217704,1.092939504,-20.85768127,15.6930851,-12.42459381,-19.6089277,30.94962337,3.609022871,4.597385459,130.043792873542
Rebella,23,NA,Kentville,domestica,dessert,Germany,old,2000,3.6046,13.2,140.834,5.8507,3.66198746,6.66771556,20.4339403,307.7441752,166.1830461,12.9754788,6.662962508,153.0706615,0.98878432,1.987586721,154.7285276,-45.93950555,1.730350051,-15.25368965,-12.19071107,84.24290234,6.7268,11.7,NA,NA,1.739311411,11.61104863,10.536717,250.6602307,7.914276005,118.1797361,1.03267503,-36.15848275,0.766092486,NA,NA,68.42775911,1.328170049,1.956228813,97.761277710982
