Phenotype	Heritability	StdErr
Propanoic-acid, butyl-ester                  	0.374438	0.089427
Propanoic-acid, ethyl-ester                  	0.999999	0.076663
Propanoic-acid, hexyl-ester                  	0.153381	0.069795
Propanoic-acid, propyl-ester                 	0.094847	0.058377
Tetrahydrofuran                              	0.246381	0.081726
Toluene                                      	0.000001	0.025069
β-Damascenone                                	0.327899	0.085037
PC1                                          	0.635070	0.092884
PC2                                          	0.650734	0.087704
PC3                                          	0.437188	0.082029
1-Octen-3-ol                                 	0.299990	0.098263
PC4                                          	0.431383	0.095824
PC5                                          	0.260650	0.080756
1-Octen-3-one                                	0.352619	0.089218
1-Pentanol                                   	0.980358	0.055787
1-Penten-3-one                               	0.491931	0.089525
1-Penten-3-one, 2-methyl-                    	0.278908	0.079466
1-Propanol                                   	0.564360	0.108043
1-Propanol, 2-methyl-                        	0.999999	0.061398
1-3-Dioxolane, 2-4-5-trimethyl-              	0.999999	0.165141
1-3-6-10-Dodecatetraene, 3-7-11-trimethyl    	0.127777	0.080804
2-Dodecanone                                 	0.259161	0.073791
(E)-Geranylacetone                           	0.103304	0.060324
2-Heptanone                                  	0.138951	0.069491
2-Heptenal                                   	0.374857	0.093338
2-Hexen-1-ol, acetate, -Z,                   	0.065288	0.046926
2-Hexenal                                    	0.448940	0.095422
2-Octenal, -E,                               	0.437018	0.095059
2-Pentenal, -E,                              	0.010650	0.028187
2-Propenal                                   	0.111901	0.064002
2-2-7-7-Tetramethyloctane                    	0.000001	0.027970
2-4-Heptadienal, -E-E,                       	0.075569	0.058677
2-4-Hexadienal                               	0.325632	0.085388
1-Butanol                                    	0.868419	0.065757
3-Hexenal                                    	0.331599	0.088911
3-Hexenyl acetate                            	0.129902	0.057091
3-Methyl-3-butenyl acetate                   	0.334093	0.086884
4-Oxohex-2-enal                              	0.139531	0.077888
5-ethyl-2(5H)-furanone                       	0.041226	0.049944
5-Hepten-2-ol, 6-methyl-                     	0.687431	0.091977
5-Hepten-2-one, 6-methyl-                    	0.375097	0.099995
5-Hexen-1-ol                                 	0.397275	0.100215
5-Hexenyl acetate                            	0.474051	0.078885
a-Farnesene                                  	0.290857	0.104191
1-Butanol, 2-methyl-                         	0.370096	0.098583
Acetic-acid                                  	0.041151	0.038039
Acetic-acid, butyl-ester                     	0.688695	0.075360
Acetic-acid, hexyl-ester                     	0.520307	0.081690
Acetic-acid, methyl-ester                    	0.999999	0.134703
Acetic-acid, pentyl-ester                    	0.641819	0.076186
Acetone                                      	0.168806	0.075461
Benzaldehyde                                 	0.009901	0.033125
Benzene                                      	0.023026	0.036235
Benzophenone                                 	0.053580	0.050331
Benzothiazole                                	0.000001	0.036106
1-Butanol, 2-methyl, -acetate                	0.418270	0.076202
Butanal                                      	0.000001	0.048259
Butanal, 2-methyl-                           	0.585055	0.107105
Butane, 1-methoxy-2-methyl-                  	0.485241	0.107240
Butanoic-acid, 2-methyl, -2-methylbutyl-ester	0.357111	0.095187
Butanoic-acid, 2-methyl, -ethyl-ester        	0.999999	0.071813
Butanoic-acid, 2-methyl, -hexyl-ester        	0.182099	0.076433
Butanoic-acid, 2-methyl, -methyl-ester       	0.432849	0.115848
Butanoic-acid, 2-methyl, -pentyl-ester       	0.227832	0.084584
Butanoic-acid, 2-methylbutyl-ester           	0.074352	0.047005
Butanoic-acid, 2-methylpropyl-ester          	0.403273	0.110255
1-Dodecanol                                  	0.921570	0.059819
Butanoic-acid, 3-hydroxy, -ethyl-ester       	0.999999	0.137279
Butanoic-acid, butyl-ester                   	0.556444	0.093786
Butanoic-acid, ethyl-ester                   	0.800388	0.092116
Butanoic-acid, hexyl-ester                   	0.818018	0.078388
Butanoic-acid, methyl-ester                  	0.595480	0.096036
Butanoic-acid, pentyl-ester                  	0.431374	0.084195
Butanoic-acid, propyl-ester                  	0.102705	0.061242
Butyl-2-methylbutanoate                      	0.311314	0.086720
Butyrolactone                                	0.282798	0.069663
Cyclopropane, nonyl-                         	0.137058	0.068867
1-Heptanol                                   	0.751345	0.092403
Decanal                                      	0.067384	0.056357
Estragole                                    	0.630219	0.089081
Ethanol                                      	0.999999	0.102782
Ethyl-Acetate                                	0.999999	0.083441
Furan, 2-methyl-                             	0.025884	0.039108
Furan, 2-pentyl-                             	0.859315	0.069846
Furan, tetrahydro-2-2-5-5-tetramethyl-       	0.000001	0.035062
Heptanal                                     	0.077351	0.054864
Heptane, 2-2-4-6-6-pentamethyl               	0.000001	0.026105
Hexamethylene-diacrylate                     	0.180325	0.079716
1-Hexanol                                    	0.875993	0.066293
Hexanal                                      	0.650093	0.093627
Hexane, 1-methoxy-                           	0.171047	0.075617
Hexanoic-acid, 2-ethyl-                      	0.009664	0.035695
Hexanoic-acid, butyl-ester                   	0.248679	0.082939
Hexanoic-acid, ethyl-ester                   	0.999999	0.085310
Hexanoic-acid, hexyl-ester                   	0.584737	0.097616
Hexanoic-acid, methyl-ester                  	0.999999	0.074902
Hexanoic-acid, propyl-ester                  	0.484994	0.113184
Isobutyl-acetate                             	0.664960	0.086222
Isopropyl-Alcohol                            	0.109144	0.065874
1-Hexanol, 2-ethyl-                          	0.149984	0.076842
n-Propyl-acetate                             	0.332502	0.079366
Octanal                                      	0.174037	0.072226
Octane, 2-2-6-trimethyl-                     	0.028193	0.036136
Pentanal                                     	0.219096	0.089619
Pentanoic-acid, ethyl-ester                  	0.999999	0.078455
Phenol                                       	0.050715	0.046731
Propanal                                     	0.075715	0.077937
Propanoic-acid, 2-methyl, -butyl-ester       	0.243860	0.081518
Propanoic-acid, 2-methyl, -ethyl-ester       	0.999999	0.101008
Propanoic-acid, 2-methyl, -hexyl-ester       	0.126983	0.062316
1-Octanol                                    	0.697182	0.094340
